Date,Open,High,Low,Close,Adj Close,Volume
2015-09-17,91.379997,91.400002,91.379997,91.379997,82.969910,425000
2015-09-18,91.400002,91.400002,91.379997,91.379997,82.969910,390500
2015-09-21,91.379997,91.400002,91.379997,91.400002,82.988037,281400
2015-09-22,91.400002,91.400002,91.379997,91.400002,82.988037,180850
2015-09-23,91.400002,91.400002,91.379997,91.379997,82.969910,223500
2015-09-24,91.400002,91.400002,91.379997,91.379997,82.969910,462750
2015-09-25,91.379997,91.400002,91.379997,91.379997,82.969910,554550
2015-09-28,91.400002,91.400002,91.379997,91.400002,82.988037,267100
2015-09-29,91.379997,91.400002,91.379997,91.400002,82.988037,1344350
2015-09-30,91.400002,91.400002,91.379997,91.379997,82.969910,494800
2015-10-01,91.379997,91.400002,91.379997,91.400002,82.988037,2686650
2015-10-02,91.400002,91.400002,91.379997,91.400002,82.988037,2358450
2015-10-05,91.379997,91.400002,91.379997,91.379997,82.969910,696850
2015-10-06,91.379997,91.400002,91.379997,91.379997,82.969910,1357750
2015-10-07,91.379997,91.400002,91.379997,91.379997,82.969910,716550
2015-10-08,91.379997,91.400002,91.379997,91.379997,82.969910,275100
2015-10-09,91.379997,91.400002,91.379997,91.379997,82.969910,774950
2015-10-12,91.400002,91.400002,91.360001,91.379997,82.969910,3216300
2015-10-13,91.379997,91.379997,91.360001,91.379997,82.969910,736400
2015-10-14,91.379997,91.379997,91.360001,91.379997,82.969910,370550
2015-10-15,91.379997,91.400002,91.379997,91.379997,82.969910,151850
2015-10-16,91.400002,91.400002,91.379997,91.379997,82.969910,577950
2015-10-19,91.379997,91.400002,91.360001,91.379997,82.969910,917200
2015-10-20,91.379997,91.379997,91.360001,91.360001,82.951744,546750
2015-10-21,91.360001,91.379997,91.360001,91.379997,82.969910,277100
2015-10-22,91.379997,91.379997,91.360001,91.379997,82.969910,327100
2015-10-23,91.360001,91.379997,91.360001,91.379997,82.969910,743550
2015-10-26,91.379997,91.379997,91.360001,91.360001,82.951744,1571850
2015-10-27,91.360001,91.379997,91.360001,91.360001,82.951744,231450
2015-10-28,91.360001,91.379997,91.360001,91.360001,82.951744,817900
2015-10-29,91.379997,91.379997,91.360001,91.360001,82.951744,429000
2015-10-30,91.360001,91.379997,91.360001,91.360001,82.951744,697900
2015-11-02,91.360001,91.379997,91.339996,91.360001,82.951744,8863450
2015-11-03,91.379997,91.379997,91.360001,91.379997,82.969910,532200
2015-11-04,91.360001,91.379997,91.360001,91.360001,82.951744,1298100
2015-11-05,91.360001,91.379997,91.360001,91.360001,82.951744,156000
2015-11-06,91.360001,91.379997,91.360001,91.360001,82.951744,956000
2015-11-09,91.360001,91.379997,91.360001,91.379997,82.969910,341650
2015-11-10,91.379997,91.379997,91.360001,91.360001,82.951744,1268400
